position,winner
OOXO XOXO,O
OOXO XOX ,O
OOXO XOOX,O
OOXO XOOO,O
OOXO XOO ,O
OOXO XO X,O
OOXO XO O,O
OOXO XO  ,O
OOXO X XX,X
OOXO X XO,U
OOXO X X ,U
OOXO X OX,X
OOXO X OO,U
OOXO X O ,U
OOXO X  X,X
OOXO X  O,U
OOXO X   ,U
OOXO OXXX,X
OOXO OXXO,U
OOXO OXX ,U
OOXO OXOX,U
OOXO OXOO,U
OOXO OXO ,U
OOXO OX X,U
OOXO OX O,U
OOXO OX  ,U
OOXO OOXX,O
OOXO OOXO,O
OOXO OOX ,O
OOXO OOOX,O
OOXO OOOO,O
OOXO OOO ,O
OOXO OO X,O
OOXO OO O,O
OOXO OO  ,O
OOXO O XX,U
OOXO O XO,U
OOXO O X ,U
OOXO O OX,U
OOXO O OO,U
OOXO O O ,U
OOXO O  X,U
OOXO O  O,U
OOXO O   ,U
OOXO  XXX,X
OOXO  XXO,U
OOXO  XX ,U
OOXO  XOX,U
OOXO  XOO,U
OOXO  XO ,U
OOXO  X X,U
OOXO  X O,U
OOXO  X  ,U
OOXO  OXX,O
OOXO  OXO,O
OOXO  OX ,O
OOXO  OOX,O
OOXO  OOO,O
OOXO  OO ,O
OOXO  O X,O
OOXO  O O,O
OOXO  O  ,O
OOXO   XX,U
OOXO   XO,U
OOXO   X ,U
OOXO   OX,U
OOXO   OO,U
OOXO   O ,U
OOXO    X,U
OOXO    O,U
OOXO     ,U
OOX XXXXX,X
OOX XXXXO,X
OOX XXXX ,X
OOX XXXOX,X
OOX XXXOO,X
OOX XXXO ,X
OOX XXX X,X
OOX XXX O,X
OOX XXX  ,X
OOX XXOXX,X
OOX XXOXO,U
OOX XXOX ,U
OOX XXOOX,X
OOX XXOOO,O
OOX XXOO ,U
OOX XXO X,X
OOX XXO O,U
OOX XXO  ,U
OOX XX XX,X
OOX XX XO,U
OOX XX X ,U
OOX XX OX,X
OOX XX OO,U
OOX XX O ,U
OOX XX  X,X
OOX XX  O,U
OOX XX   ,U
OOX XOXXX,X
OOX XOXXO,X
OOX XOXX ,X
OOX XOXOX,X
OOX XOXOO,X
OOX XOXO ,X
OOX XOX X,X
OOX XOX O,X
OOX XOX  ,X
OOX XOOXX,U
OOX XOOXO,U
OOX XOOX ,U
OOX XOOOX,U
OOX XOOOO,O
OOX XOOO ,U
OOX XOO X,U
OOX XOO O,U
OOX XOO  ,U
OOX XO XX,U
OOX XO XO,U
OOX XO X ,U
OOX XO OX,U
OOX XO OO,U
OOX XO O ,U
OOX XO  X,U
OOX XO  O,U
OOX XO   ,U
OOX X XXX,X
OOX X XXO,X
OOX X XX ,X
OOX X XOX,X
OOX X XOO,X
OOX X XO ,X
OOX X X X,X
OOX X X O,X
OOX X X  ,X
OOX X OXX,U
OOX X OXO,U
OOX X OX ,U
OOX X OOX,U
OOX X OOO,O
OOX X OO ,U
OOX X O X,U
OOX X O O,U
OOX X O  ,U
OOX X  XX,U
OOX X  XO,U
OOX X  X ,U
OOX X  OX,U
OOX X  OO,U
OOX X  O ,U
OOX X   X,U
OOX X   O,U
OOX X    ,U
OOX OXXXX,X
OOX OXXXO,O
OOX OXXX ,U
OOX OXXOX,O
OOX OXXOO,O
OOX OXXO ,O
OOX OXX X,X
OOX OXX O,O
OOX OXX  ,U
OOX OXOXX,X
OOX OXOXO,O
OOX OXOX ,U
OOX OXOOX,O
OOX OXOOO,O
OOX OXOO ,O
OOX OXO X,X
OOX OXO O,O
OOX OXO  ,U
OOX OX XX,X
OOX OX XO,O
OOX OX X ,U
OOX OX OX,O
OOX OX OO,O
OOX OX O ,O
OOX OX  X,X
OOX OX  O,O
OOX OX   ,U
OOX OOXXX,X
OOX OOXXO,O
OOX OOXX ,U
OOX OOXOX,O
OOX OOXOO,O
OOX OOXO ,O
OOX OOX X,U
OOX OOX O,O
OOX OOX  ,U
OOX OOOXX,U
OOX OOOXO,O
OOX OOOX ,U
OOX OOOOX,O
OOX OOOOO,O
OOX OOOO ,O
OOX OOO X,U
OOX OOO O,O
OOX OOO  ,U
OOX OO XX,U
OOX OO XO,O
OOX OO X ,U
OOX OO OX,O
OOX OO OO,O
OOX OO O ,O
OOX OO  X,U
OOX OO  O,O
OOX OO   ,U
OOX O XXX,X
OOX O XXO,O
OOX O XX ,U
OOX O XOX,O
OOX O XOO,O
OOX O XO ,O
OOX O X X,U
OOX O X O,O
OOX O X  ,U
OOX O OXX,U
OOX O OXO,O
OOX O OX ,U
OOX O OOX,O
OOX O OOO,O
OOX O OO ,O
OOX O O X,U
OOX O O O,O
OOX O O  ,U
OOX O  XX,U
OOX O  XO,O
OOX O  X ,U
OOX O  OX,O
OOX O  OO,O
OOX O  O ,O
OOX O   X,U
OOX O   O,O
OOX O    ,U
OOX  XXXX,X
OOX  XXXO,U
OOX  XXX ,U
OOX  XXOX,X
OOX  XXOO,U
OOX  XXO ,U
OOX  XX X,X
OOX  XX O,U
OOX  XX  ,U
OOX  XOXX,X
OOX  XOXO,U
OOX  XOX ,U
OOX  XOOX,X
OOX  XOOO,O
OOX  XOO ,U
OOX  XO X,X
OOX  XO O,U
OOX  XO  ,U
OOX  X XX,X
OOX  X XO,U
OOX  X X ,U
OOX  X OX,X
OOX  X OO,U
OOX  X O ,U
OOX  X  X,X
OOX  X  O,U
OOX  X   ,U
OOX  OXXX,X
OOX  OXXO,U
OOX  OXX ,U
OOX  OXOX,U
OOX  OXOO,U
OOX  OXO ,U
OOX  OX X,U
OOX  OX O,U
OOX  OX  ,U
OOX  OOXX,U
OOX  OOXO,U
OOX  OOX ,U
OOX  OOOX,U
OOX  OOOO,O
OOX  OOO ,U
OOX  OO X,U
OOX  OO O,U
OOX  OO  ,U
OOX  O XX,U
OOX  O XO,U
OOX  O X ,U
OOX  O OX,U
OOX  O OO,U
OOX  O O ,U
OOX  O  X,U
OOX  O  O,U
OOX  O   ,U
OOX   XXX,X
OOX   XXO,U
OOX   XX ,U
OOX   XOX,U
OOX   XOO,U
OOX   XO ,U
OOX   X X,U
OOX   X O,U
OOX   X  ,U
OOX   OXX,U
OOX   OXO,U
OOX   OX ,U
OOX   OOX,U
OOX   OOO,O
OOX   OO ,U
OOX   O X,U
OOX   O O,U
OOX   O  ,U
OOX    XX,U
OOX    XO,U
OOX    X ,U
OOX    OX,U
OOX    OO,U
OOX    O ,U
OOX     X,U
OOX     O,U
OOX      ,U
OOOXXXXXX,O
OOOXXXXXO,O
OOOXXXXX ,O
OOOXXXXOX,O
OOOXXXXOO,O
OOOXXXXO ,O
OOOXXXX X,O
OOOXXXX O,O
OOOXXXX  ,O
OOOXXXOXX,O
OOOXXXOXO,O
OOOXXXOX ,O
OOOXXXOOX,O
OOOXXXOOO,O
OOOXXXOO ,O
OOOXXXO X,O
OOOXXXO O,O
OOOXXXO  ,O
OOOXXX XX,O
OOOXXX XO,O
OOOXXX X ,O
OOOXXX OX,O
OOOXXX OO,O
OOOXXX O ,O
OOOXXX  X,O
OOOXXX  O,O
OOOXXX   ,O
OOOXXOXXX,O
OOOXXOXXO,O
OOOXXOXX ,O
OOOXXOXOX,O
OOOXXOXOO,O
OOOXXOXO ,O
OOOXXOX X,O
OOOXXOX O,O
OOOXXOX  ,O
OOOXXOOXX,O
OOOXXOOXO,O
OOOXXOOX ,O
OOOXXOOOX,O
OOOXXOOOO,O
OOOXXOOO ,O
OOOXXOO X,O
OOOXXOO O,O
OOOXXOO  ,O
OOOXXO XX,O
OOOXXO XO,O
OOOXXO X ,O
OOOXXO OX,O
OOOXXO OO,O
OOOXXO O ,O
OOOXXO  X,O
OOOXXO  O,O
OOOXXO   ,O
OOOXX XXX,O
OOOXX XXO,O
OOOXX XX ,O
OOOXX XOX,O
OOOXX XOO,O
OOOXX XO ,O
OOOXX X X,O
OOOXX X O,O
OOOXX X  ,O
OOOXX OXX,O
OOOXX OXO,O
OOOXX OX ,O
OOOXX OOX,O
OOOXX OOO,O
OOOXX OO ,O
OOOXX O X,O
OOOXX O O,O
OOOXX O  ,O
OOOXX  XX,O
OOOXX  XO,O
OOOXX  X ,O
OOOXX  OX,O
OOOXX  OO,O
OOOXX  O ,O
OOOXX   X,O
OOOXX   O,O
OOOXX    ,O
OOOXOXXXX,O
OOOXOXXXO,O
OOOXOXXX ,O
OOOXOXXOX,O
OOOXOXXOO,O
OOOXOXXO ,O
OOOXOXX X,O
OOOXOXX O,O
OOOXOXX  ,O
OOOXOXOXX,O
OOOXOXOXO,O
OOOXOXOX ,O
OOOXOXOOX,O
OOOXOXOOO,O
OOOXOXOO ,O
OOOXOXO X,O
OOOXOXO O,O
OOOXOXO  ,O
OOOXOX XX,O
OOOXOX XO,O
OOOXOX X ,O
OOOXOX OX,O
OOOXOX OO,O
OOOXOX O ,O
OOOXOX  X,O
OOOXOX  O,O
OOOXOX   ,O
OOOXOOXXX,O
OOOXOOXXO,O
OOOXOOXX ,O
OOOXOOXOX,O
OOOXOOXOO,O
OOOXOOXO ,O
OOOXOOX X,O
OOOXOOX O,O
OOOXOOX  ,O
OOOXOOOXX,O
OOOXOOOXO,O
OOOXOOOX ,O
OOOXOOOOX,O
OOOXOOOOO,O
OOOXOOOO ,O
OOOXOOO X,O
OOOXOOO O,O
OOOXOOO  ,O
OOOXOO XX,O
OOOXOO XO,O
OOOXOO X ,O
OOOXOO OX,O
OOOXOO OO,O
OOOXOO O ,O
OOOXOO  X,O
OOOXOO  O,O
OOOXOO   ,O
OOOXO XXX,O
OOOXO XXO,O
OOOXO XX ,O
OOOXO XOX,O
OOOXO XOO,O
OOOXO XO ,O
OOOXO X X,O
OOOXO X O,O
OOOXO X  ,O
OOOXO OXX,O
OOOXO OXO,O
OOOXO OX ,O
OOOXO OOX,O
OOOXO OOO,O
OOOXO OO ,O
OOOXO O X,O
OOOXO O O,O
OOOXO O  ,O
OOOXO  XX,O
OOOXO  XO,O
OOOXO  X ,O
OOOXO  OX,O
OOOXO  OO,O
OOOXO  O ,O
OOOXO   X,O
OOOXO   O,O
OOOXO    ,O
OOOX XXXX,O
OOOX XXXO,O
OOOX XXX ,O
OOOX XXOX,O
OOOX XXOO,O
OOOX XXO ,O
OOOX XX X,O
OOOX XX O,O
OOOX XX  ,O
OOOX XOXX,O
OOOX XOXO,O
OOOX XOX ,O
OOOX XOOX,O
OOOX XOOO,O
OOOX XOO ,O
OOOX XO X,O
OOOX XO O,O
OOOX XO  ,O
OOOX X XX,O
OOOX X XO,O
OOOX X X ,O
OOOX X OX,O
OOOX X OO,O
OOOX X O ,O
OOOX X  X,O
OOOX X  O,O
OOOX X   ,O
OOOX OXXX,O
OOOX OXXO,O
OOOX OXX ,O
OOOX OXOX,O
OOOX OXOO,O
OOOX OXO ,O
OOOX OX X,O
OOOX OX O,O
OOOX OX  ,O
OOOX OOXX,O
OOOX OOXO,O
OOOX OOX ,O
OOOX OOOX,O
OOOX OOOO,O
OOOX OOO ,O
OOOX OO X,O
OOOX OO O,O
OOOX OO  ,O
OOOX O XX,O
OOOX O XO,O
OOOX O X ,O
OOOX O OX,O
OOOX O OO,O
OOOX O O ,O
OOOX O  X,O
OOOX O  O,O
OOOX O   ,O
OOOX  XXX,O
OOOX  XXO,O
OOOX  XX ,O
OOOX  XOX,O
OOOX  XOO,O
OOOX  XO ,O
OOOX  X X,O
OOOX  X O,O
OOOX  X  ,O
OOOX  OXX,O
OOOX  OXO,O
OOOX  OX ,O
OOOX  OOX,O
OOOX  OOO,O
OOOX  OO ,O
OOOX  O X,O
OOOX  O O,O
OOOX  O  ,O
OOOX   XX,O
OOOX   XO,O
OOOX   X ,O
OOOX   OX,O
OOOX   OO,O
OOOX   O ,O
OOOX    X,O
OOOX    O,O
OOOX     ,O
OOOOXXXXX,O
OOOOXXXXO,O
OOOOXXXX ,O
OOOOXXXOX,O
OOOOXXXOO,O
OOOOXXXO ,O
OOOOXXX X,O
OOOOXXX O,O
OOOOXXX  ,O
OOOOXXOXX,O
OOOOXXOXO,O
OOOOXXOX ,O
OOOOXXOOX,O
OOOOXXOOO,O
OOOOXXOO ,O
OOOOXXO X,O
OOOOXXO O,O
OOOOXXO  ,O
OOOOXX XX,O
OOOOXX XO,O
OOOOXX X ,O
OOOOXX OX,O
OOOOXX OO,O
OOOOXX O ,O
OOOOXX  X,O
OOOOXX  O,O
OOOOXX   ,O
OOOOXOXXX,O
OOOOXOXXO,O
OOOOXOXX ,O
OOOOXOXOX,O
OOOOXOXOO,O
OOOOXOXO ,O
OOOOXOX X,O
OOOOXOX O,O
OOOOXOX  ,O
OOOOXOOXX,O
OOOOXOOXO,O
OOOOXOOX ,O
OOOOXOOOX,O
OOOOXOOOO,O
OOOOXOOO ,O
OOOOXOO X,O
OOOOXOO O,O
OOOOXOO  ,O
OOOOXO XX,O
OOOOXO XO,O
OOOOXO X ,O
OOOOXO OX,O
OOOOXO OO,O
OOOOXO O ,O
OOOOXO  X,O
OOOOXO  O,O
OOOOXO   ,O
OOOOX XXX,O
OOOOX XXO,O
OOOOX XX ,O
OOOOX XOX,O
OOOOX XOO,O
OOOOX XO ,O
OOOOX X X,O
OOOOX X O,O
OOOOX X  ,O
OOOOX OXX,O
OOOOX OXO,O
OOOOX OX ,O
OOOOX OOX,O
OOOOX OOO,O
OOOOX OO ,O
OOOOX O X,O
OOOOX O O,O
OOOOX O  ,O
OOOOX  XX,O
OOOOX  XO,O
OOOOX  X ,O
OOOOX  OX,O
OOOOX  OO,O
OOOOX  O ,O
OOOOX   X,O
OOOOX   O,O
OOOOX    ,O
OOOOOXXXX,O
OOOOOXXXO,O
OOOOOXXX ,O
OOOOOXXOX,O
OOOOOXXOO,O
OOOOOXXO ,O
OOOOOXX X,O
OOOOOXX O,O
OOOOOXX  ,O
OOOOOXOXX,O
OOOOOXOXO,O
OOOOOXOX ,O
OOOOOXOOX,O
OOOOOXOOO,O
OOOOOXOO ,O
OOOOOXO X,O
OOOOOXO O,O
OOOOOXO  ,O
OOOOOX XX,O
OOOOOX XO,O
OOOOOX X ,O
OOOOOX OX,O
OOOOOX OO,O
OOOOOX O ,O
OOOOOX  X,O
OOOOOX  O,O
OOOOOX   ,O
OOOOOOXXX,O
OOOOOOXXO,O
OOOOOOXX ,O
OOOOOOXOX,O
OOOOOOXOO,O
OOOOOOXO ,O
OOOOOOX X,O
OOOOOOX O,O
OOOOOOX  ,O
OOOOOOOXX,O
OOOOOOOXO,O
OOOOOOOX ,O
OOOOOOOOX,O
OOOOOOOOO,O
OOOOOOOO ,O
OOOOOOO X,O
OOOOOOO O,O
OOOOOOO  ,O
OOOOOO XX,O
OOOOOO XO,O
OOOOOO X ,O
OOOOOO OX,O
OOOOOO OO,O
OOOOOO O ,O
OOOOOO  X,O
OOOOOO  O,O
OOOOOO   ,O
OOOOO XXX,O
OOOOO XXO,O
OOOOO XX ,O
OOOOO XOX,O
OOOOO XOO,O
OOOOO XO ,O
OOOOO X X,O
OOOOO X O,O
OOOOO X  ,O
OOOOO OXX,O
OOOOO OXO,O
OOOOO OX ,O
OOOOO OOX,O
OOOOO OOO,O
OOOOO OO ,O
OOOOO O X,O
OOOOO O O,O
OOOOO O  ,O
OOOOO  XX,O
OOOOO  XO,O
OOOOO  X ,O
OOOOO  OX,O
OOOOO  OO,O
OOOOO  O ,O
OOOOO   X,O
OOOOO   O,O
OOOOO    ,O
OOOO XXXX,O
OOOO XXXO,O
OOOO XXX ,O
OOOO XXOX,O
OOOO XXOO,O
OOOO XXO ,O
OOOO XX X,O
OOOO XX O,O
OOOO XX  ,O
OOOO XOXX,O
OOOO XOXO,O
OOOO XOX ,O
OOOO XOOX,O
OOOO XOOO,O
OOOO XOO ,O
OOOO XO X,O
OOOO XO O,O
OOOO XO  ,O
OOOO X XX,O
OOOO X XO,O
OOOO X X ,O
OOOO X OX,O
OOOO X OO,O
OOOO X O ,O
OOOO X  X,O
OOOO X  O,O
OOOO X   ,O
OOOO OXXX,O
OOOO OXXO,O
OOOO OXX ,O
OOOO OXOX,O
OOOO OXOO,O
OOOO OXO ,O
OOOO OX X,O
OOOO OX O,O
OOOO OX  ,O
OOOO OOXX,O
OOOO OOXO,O
OOOO OOX ,O
OOOO OOOX,O
OOOO OOOO,O
OOOO OOO ,O
OOOO OO X,O
OOOO OO O,O
OOOO OO  ,O
OOOO O XX,O
OOOO O XO,O
OOOO O X ,O
OOOO O OX,O
OOOO O OO,O
OOOO O O ,O
OOOO O  X,O
OOOO O  O,O
OOOO O   ,O
OOOO  XXX,O
OOOO  XXO,O
OOOO  XX ,O
OOOO  XOX,O
OOOO  XOO,O
OOOO  XO ,O
OOOO  X X,O
OOOO  X O,O
OOOO  X  ,O
OOOO  OXX,O
OOOO  OXO,O
OOOO  OX ,O
OOOO  OOX,O
OOOO  OOO,O
OOOO  OO ,O
OOOO  O X,O
OOOO  O O,O
OOOO  O  ,O
OOOO   XX,O
OOOO   XO,O
OOOO   X ,O
OOOO   OX,O
OOOO   OO,O
OOOO   O ,O
OOOO    X,O
OOOO    O,O
OOOO     ,O
OOO XXXXX,O
OOO XXXXO,O
OOO XXXX ,O
OOO XXXOX,O
OOO XXXOO,O
OOO XXXO ,O
OOO XXX X,O
OOO XXX O,O
OOO XXX  ,O
OOO XXOXX,O
OOO XXOXO,O
OOO XXOX ,O
OOO XXOOX,O
OOO XXOOO,O
OOO XXOO ,O
OOO XXO X,O
OOO XXO O,O
OOO XXO  ,O
OOO XX XX,O
OOO XX XO,O
OOO XX X ,O
OOO XX OX,O
OOO XX OO,O
OOO XX O ,O
OOO XX  X,O
OOO XX  O,O
OOO XX   ,O
OOO XOXXX,O
OOO XOXXO,O
OOO XOXX ,O
OOO XOXOX,O
OOO XOXOO,O
OOO XOXO ,O
OOO XOX X,O
OOO XOX O,O
OOO XOX  ,O
OOO XOOXX,O
OOO XOOXO,O
OOO XOOX ,O
OOO XOOOX,O
OOO XOOOO,O
OOO XOOO ,O
OOO XOO X,O
OOO XOO O,O
OOO XOO  ,O
OOO XO XX,O
OOO XO XO,O
OOO XO X ,O
OOO XO OX,O
OOO XO OO,O
OOO XO O ,O
OOO XO  X,O
OOO XO  O,O
OOO XO   ,O
OOO X XXX,O
OOO X XXO,O
OOO X XX ,O
OOO X XOX,O
OOO X XOO,O
OOO X XO ,O
OOO X X X,O
OOO X X O,O
OOO X X  ,O
OOO X OXX,O
OOO X OXO,O
OOO X OX ,O
OOO X OOX,O
OOO X OOO,O
OOO X OO ,O
OOO X O X,O
OOO X O O,O
OOO X O  ,O
OOO X  XX,O
OOO X  XO,O
OOO X  X ,O
OOO X  OX,O
OOO X  OO,O
OOO X  O ,O
OOO X   X,O
OOO X   O,O
OOO X    ,O
OOO OXXXX,O
OOO OXXXO,O
OOO OXXX ,O
OOO OXXOX,O
OOO OXXOO,O
OOO OXXO ,O
OOO OXX X,O
OOO OXX O,O
OOO OXX  ,O
OOO OXOXX,O
OOO OXOXO,O
OOO OXOX ,O
OOO OXOOX,O
OOO OXOOO,O
OOO OXOO ,O
OOO OXO X,O
OOO OXO O,O
OOO OXO  ,O
OOO OX XX,O
OOO OX XO,O
OOO OX X ,O
OOO OX OX,O
OOO OX OO,O
OOO OX O ,O
OOO OX  X,O
OOO OX  O,O
OOO OX   ,O
OOO OOXXX,O
OOO OOXXO,O
OOO OOXX ,O
OOO OOXOX,O
OOO OOXOO,O
OOO OOXO ,O
OOO OOX X,O
OOO OOX O,O
OOO OOX  ,O
OOO OOOXX,O
OOO OOOXO,O
OOO OOOX ,O
OOO OOOOX,O
OOO OOOOO,O
OOO OOOO ,O
OOO OOO X,O
OOO OOO O,O
OOO OOO  ,O
OOO OO XX,O
OOO OO XO,O
OOO OO X ,O
OOO OO OX,O
OOO OO OO,O
OOO OO O ,O
OOO OO  X,O
OOO OO  O,O
OOO OO   ,O
OOO O XXX,O
OOO O XXO,O
OOO O XX ,O
OOO O XOX,O
OOO O XOO,O
OOO O XO ,O
OOO O X X,O
OOO O X O,O
OOO O X  ,O
OOO O OXX,O
OOO O OXO,O
OOO O OX ,O
OOO O OOX,O
OOO O OOO,O
OOO O OO ,O
OOO O O X,O
OOO O O O,O
OOO O O  ,O
OOO O  XX,O
OOO O  XO,O
OOO O  X ,O
OOO O  OX,O
OOO O  OO,O
OOO O  O ,O
OOO O   X,O
OOO O   O,O
OOO O    ,O
OOO  XXXX,O
OOO  XXXO,O
OOO  XXX ,O
OOO  XXOX,O
OOO  XXOO,O
OOO  XXO ,O
OOO  XX X,O
OOO  XX O,O
OOO  XX  ,O
OOO  XOXX,O
OOO  XOXO,O
OOO  XOX ,O
OOO  XOOX,O
OOO  XOOO,O
OOO  XOO ,O
OOO  XO X,O
OOO  XO O,O
OOO  XO  ,O
OOO  X XX,O
OOO  X XO,O
OOO  X X ,O
OOO  X OX,O
OOO  X OO,O
OOO  X O ,O
OOO  X  X,O
OOO  X  O,O
OOO  X   ,O
OOO  OXXX,O
OOO  OXXO,O
OOO  OXX ,O
OOO  OXOX,O
OOO  OXOO,O
OOO  OXO ,O
OOO  OX X,O
OOO  OX O,O
OOO  OX  ,O
OOO  OOXX,O
OOO  OOXO,O
OOO  OOX ,O
OOO  OOOX,O
OOO  OOOO,O
OOO  OOO ,O
OOO  OO X,O
OOO  OO O,O
OOO  OO  ,O
OOO  O XX,O
OOO  O XO,O
OOO  O X ,O
OOO  O OX,O
OOO  O OO,O
OOO  O O ,O
OOO  O  X,O
OOO  O  O,O
OOO  O   ,O
OOO   XXX,O
OOO   XXO,O
OOO   XX ,O
OOO   XOX,O
OOO   XOO,O
OOO   XO ,O
OOO   X X,O
OOO   X O,O
OOO   X  ,O
OOO   OXX,O
OOO   OXO,O
OOO   OX ,O
OOO   OOX,O
OOO   OOO,O
OOO   OO ,O
OOO   O X,O
OOO   O O,O
OOO   O  ,O
OOO    XX,O
OOO    XO,O
OOO    X ,O
OOO    OX,O
OOO    OO,O
OOO    O ,O
OOO     X,O
OOO     O,O
OOO      ,O
OO XXXXXX,X
OO XXXXXO,X
OO XXXXX ,X
OO XXXXOX,X
OO XXXXOO,X
OO XXXXO ,X
OO XXXX X,X
OO XXXX O,X
OO XXXX  ,X
OO XXXOXX,X
OO XXXOXO,X
OO XXXOX ,X
OO XXXOOX,X
OO XXXOOO,X
OO XXXOO ,X
OO XXXO X,X
OO XXXO O,X
OO XXXO  ,X
OO XXX XX,X
OO XXX XO,X
OO XXX X ,X
OO XXX OX,X
OO XXX OO,X
OO XXX O ,X
OO XXX  X,X
OO XXX  O,X
OO XXX   ,X
OO XXOXXX,X
OO XXOXXO,U
OO XXOXX ,U
OO XXOXOX,U
OO XXOXOO,U
OO XXOXO ,U
OO XXOX X,U
OO XXOX O,U
OO XXOX  ,U
OO XXOOXX,U
OO XXOOXO,U
OO XXOOX ,U
OO XXOOOX,U
OO XXOOOO,O
OO XXOOO ,U
OO XXOO X,U
OO XXOO O,U
OO XXOO  ,U
OO XXO XX,U
OO XXO XO,U
OO XXO X ,U
OO XXO OX,U
OO XXO OO,U
OO XXO O ,U
OO XXO  X,U
OO XXO  O,U
OO XXO   ,U
OO XX XXX,X
OO XX XXO,U
OO XX XX ,U
OO XX XOX,U
OO XX XOO,U
OO XX XO ,U
OO XX X X,U
OO XX X O,U
OO XX X  ,U
OO XX OXX,U
OO XX OXO,U
OO XX OX ,U
OO XX OOX,U
OO XX OOO,O
OO XX OO ,U
OO XX O X,U
OO XX O O,U
OO XX O  ,U
OO XX  XX,U
OO XX  XO,U
OO XX  X ,U
OO XX  OX,U
OO XX  OO,U
OO XX  O ,U
OO XX   X,U
OO XX   O,U
OO XX    ,U
OO XOXXXX,X
OO XOXXXO,O
OO XOXXX ,U
OO XOXXOX,O
OO XOXXOO,O
OO XOXXO ,O
OO XOXX X,U
OO XOXX O,O
OO XOXX  ,U
OO XOXOXX,U
OO XOXOXO,O
OO XOXOX ,U
OO XOXOOX,O
OO XOXOOO,O
OO XOXOO ,O
OO XOXO X,U
OO XOXO O,O
OO XOXO  ,U
OO XOX XX,U
OO XOX XO,O
OO XOX X ,U
OO XOX OX,O
OO XOX OO,O
OO XOX O ,O
OO XOX  X,U
OO XOX  O,O
OO XOX   ,U
OO XOOXXX,X
OO XOOXXO,O
OO XOOXX ,U
OO XOOXOX,O
OO XOOXOO,O
OO XOOXO ,O
OO XOOX X,U
OO XOOX O,O
OO XOOX  ,U
OO XOOOXX,U
OO XOOOXO,O
OO XOOOX ,U
OO XOOOOX,O
OO XOOOOO,O
OO XOOOO ,O
OO XOOO X,U
OO XOOO O,O
OO XOOO  ,U
OO XOO XX,U
OO XOO XO,O
OO XOO X ,U
OO XOO OX,O
OO XOO OO,O
OO XOO O ,O
OO XOO  X,U
OO XOO  O,O
OO XOO   ,U
OO XO XXX,X
OO XO XXO,O
OO XO XX ,U
OO XO XOX,O
OO XO XOO,O
OO XO XO ,O
OO XO X X,U
OO XO X O,O
OO XO X  ,U
OO XO OXX,U
OO XO OXO,O
OO XO OX ,U
OO XO OOX,O
OO XO OOO,O
OO XO OO ,O
OO XO O X,U
OO XO O O,O
OO XO O  ,U
OO XO  XX,U
OO XO  XO,O
OO XO  X ,U
OO XO  OX,O
OO XO  OO,O
OO XO  O ,O
OO XO   X,U
OO XO   O,O
OO XO    ,U
OO X XXXX,X
OO X XXXO,U
OO X XXX ,U
OO X XXOX,U
OO X XXOO,U
OO X XXO ,U
OO X XX X,U
OO X XX O,U
OO X XX  ,U
OO X XOXX,U
OO X XOXO,U
OO X XOX ,U
OO X XOOX,U
OO X XOOO,O
OO X XOO ,U
OO X XO X,U
OO X XO O,U
OO X XO  ,U
OO X X XX,U
OO X X XO,U
OO X X X ,U
OO X X OX,U
OO X X OO,U
OO X X O ,U
OO X X  X,U
OO X X  O,U
OO X X   ,U
OO X OXXX,X
OO X OXXO,U
OO X OXX ,U
OO X OXOX,U
OO X OXOO,U
OO X OXO ,U
OO X OX X,U
OO X OX O,U
OO X OX  ,U
OO X OOXX,U
OO X OOXO,U
OO X OOX ,U
OO X OOOX,U
OO X OOOO,O
OO X OOO ,U
OO X OO X,U
OO X OO O,U
OO X OO  ,U
OO X O XX,U
OO X O XO,U
OO X O X ,U
OO X O OX,U
OO X O OO,U
OO X O O ,U
OO X O  X,U
OO X O  O,U
OO X O   ,U
OO X  XXX,X
OO X  XXO,U
OO X  XX ,U
OO X  XOX,U
OO X  XOO,U
OO X  XO ,U
OO X  X X,U
OO X  X O,U
OO X  X  ,U
OO X  OXX,U
OO X  OXO,U
OO X  OX ,U
OO X  OOX,U
OO X  OOO,O
OO X  OO ,U
OO X  O X,U
OO X  O O,U
OO X  O  ,U
OO X   XX,U
OO X   XO,U
OO X   X ,U
OO X   OX,U
OO X   OO,U
OO X   O ,U
OO X    X,U
OO X    O,U
OO X     ,U
OO OXXXXX,X
OO OXXXXO,U
OO OXXXX ,U
OO OXXXOX,U
OO OXXXOO,U
OO OXXXO ,U
OO OXXX X,U
OO OXXX O,U
OO OXXX  ,U
OO OXXOXX,O
OO OXXOXO,O
OO OXXOX ,O
OO OXXOOX,O
OO OXXOOO,O
OO OXXOO ,O
OO OXXO X,O
OO OXXO O,O
OO OXXO  ,O
OO OXX XX,U
OO OXX XO,U
OO OXX X ,U
OO OXX OX,U
OO OXX OO,U
OO OXX O ,U
OO OXX  X,U
OO OXX  O,U
OO OXX   ,U
OO OXOXXX,X
OO OXOXXO,U
OO OXOXX ,U
OO OXOXOX,U
OO OXOXOO,U
OO OXOXO ,U
OO OXOX X,U
OO OXOX O,U
OO OXOX  ,U
OO OXOOXX,O
OO OXOOXO,O
OO OXOOX ,O
OO OXOOOX,O
OO OXOOOO,O
OO OXOOO ,O
OO OXOO X,O
OO OXOO O,O
OO OXOO  ,O
OO OXO XX,U
OO OXO XO,U
OO OXO X ,U
