position,winner
XXOX XXOO,X
XXOX XXO ,X
XXOX XX X,X
XXOX XX O,X
XXOX XX  ,X
XXOX XOXX,U
XXOX XOXO,U
XXOX XOX ,U
XXOX XOOX,U
XXOX XOOO,O
XXOX XOO ,U
XXOX XO X,U
XXOX XO O,U
XXOX XO  ,U
XXOX X XX,U
XXOX X XO,U
XXOX X X ,U
XXOX X OX,U
XXOX X OO,U
XXOX X O ,U
XXOX X  X,U
XXOX X  O,U
XXOX X   ,U
XXOX OXXX,X
XXOX OXXO,X
XXOX OXX ,X
XXOX OXOX,X
XXOX OXOO,X
XXOX OXO ,X
XXOX OX X,X
XXOX OX O,X
XXOX OX  ,X
XXOX OOXX,U
XXOX OOXO,O
XXOX OOX ,U
XXOX OOOX,U
XXOX OOOO,O
XXOX OOO ,U
XXOX OO X,U
XXOX OO O,O
XXOX OO  ,U
XXOX O XX,U
XXOX O XO,O
XXOX O X ,U
XXOX O OX,U
XXOX O OO,O
XXOX O O ,U
XXOX O  X,U
XXOX O  O,O
XXOX O   ,U
XXOX  XXX,X
XXOX  XXO,X
XXOX  XX ,X
XXOX  XOX,X
XXOX  XOO,X
XXOX  XO ,X
XXOX  X X,X
XXOX  X O,X
XXOX  X  ,X
XXOX  OXX,U
XXOX  OXO,U
XXOX  OX ,U
XXOX  OOX,U
XXOX  OOO,O
XXOX  OO ,U
XXOX  O X,U
XXOX  O O,U
XXOX  O  ,U
XXOX   XX,U
XXOX   XO,U
XXOX   X ,U
XXOX   OX,U
XXOX   OO,U
XXOX   O ,U
XXOX    X,U
XXOX    O,U
XXOX     ,U
XXOOXXXXX,X
XXOOXXXXO,X
XXOOXXXX ,X
XXOOXXXOX,X
XXOOXXXOO,T
XXOOXXXO ,U
XXOOXXX X,X
XXOOXXX O,U
XXOOXXX  ,U
XXOOXXOXX,X
XXOOXXOXO,X
XXOOXXOX ,X
XXOOXXOOX,X
XXOOXXOOO,O
XXOOXXOO ,U
XXOOXXO X,X
XXOOXXO O,U
XXOOXXO  ,U
XXOOXX XX,X
XXOOXX XO,X
XXOOXX X ,X
XXOOXX OX,X
XXOOXX OO,U
XXOOXX O ,U
XXOOXX  X,X
XXOOXX  O,U
XXOOXX   ,U
XXOOXOXXX,X
XXOOXOXXO,X
XXOOXOXX ,X
XXOOXOXOX,X
XXOOXOXOO,O
XXOOXOXO ,U
XXOOXOX X,X
XXOOXOX O,O
XXOOXOX  ,U
XXOOXOOXX,X
XXOOXOOXO,X
XXOOXOOX ,X
XXOOXOOOX,X
XXOOXOOOO,O
XXOOXOOO ,U
XXOOXOO X,X
XXOOXOO O,O
XXOOXOO  ,U
XXOOXO XX,X
XXOOXO XO,X
XXOOXO X ,X
XXOOXO OX,X
XXOOXO OO,O
XXOOXO O ,U
XXOOXO  X,X
XXOOXO  O,O
XXOOXO   ,U
XXOOX XXX,X
XXOOX XXO,X
XXOOX XX ,X
XXOOX XOX,X
XXOOX XOO,U
XXOOX XO ,U
XXOOX X X,X
XXOOX X O,U
XXOOX X  ,U
XXOOX OXX,X
XXOOX OXO,X
XXOOX OX ,X
XXOOX OOX,X
XXOOX OOO,O
XXOOX OO ,U
XXOOX O X,X
XXOOX O O,U
XXOOX O  ,U
XXOOX  XX,X
XXOOX  XO,X
XXOOX  X ,X
XXOOX  OX,X
XXOOX  OO,U
XXOOX  O ,U
XXOOX   X,X
XXOOX   O,U
XXOOX    ,U
XXOOOXXXX,X
XXOOOXXXO,T
XXOOOXXX ,U
XXOOOXXOX,T
XXOOOXXOO,T
XXOOOXXO ,U
XXOOOXX X,U
XXOOOXX O,U
XXOOOXX  ,U
XXOOOXOXX,O
XXOOOXOXO,O
XXOOOXOX ,O
XXOOOXOOX,O
XXOOOXOOO,O
XXOOOXOO ,O
XXOOOXO X,O
XXOOOXO O,O
XXOOOXO  ,O
XXOOOX XX,U
XXOOOX XO,U
XXOOOX X ,U
XXOOOX OX,U
XXOOOX OO,U
XXOOOX O ,U
XXOOOX  X,U
XXOOOX  O,U
XXOOOX   ,U
XXOOOOXXX,O
XXOOOOXXO,O
XXOOOOXX ,O
XXOOOOXOX,O
XXOOOOXOO,O
XXOOOOXO ,O
XXOOOOX X,O
XXOOOOX O,O
XXOOOOX  ,O
XXOOOOOXX,O
XXOOOOOXO,O
XXOOOOOX ,O
XXOOOOOOX,O
XXOOOOOOO,O
XXOOOOOO ,O
XXOOOOO X,O
XXOOOOO O,O
XXOOOOO  ,O
XXOOOO XX,O
XXOOOO XO,O
XXOOOO X ,O
XXOOOO OX,O
XXOOOO OO,O
XXOOOO O ,O
XXOOOO  X,O
XXOOOO  O,O
XXOOOO   ,O
XXOOO XXX,X
XXOOO XXO,U
XXOOO XX ,U
XXOOO XOX,U
XXOOO XOO,U
XXOOO XO ,U
XXOOO X X,U
XXOOO X O,U
XXOOO X  ,U
XXOOO OXX,O
XXOOO OXO,O
XXOOO OX ,O
XXOOO OOX,O
XXOOO OOO,O
XXOOO OO ,O
XXOOO O X,O
XXOOO O O,O
XXOOO O  ,O
XXOOO  XX,U
XXOOO  XO,U
XXOOO  X ,U
XXOOO  OX,U
XXOOO  OO,U
XXOOO  O ,U
XXOOO   X,U
XXOOO   O,U
XXOOO    ,U
XXOO XXXX,X
XXOO XXXO,U
XXOO XXX ,U
XXOO XXOX,U
XXOO XXOO,U
XXOO XXO ,U
XXOO XX X,U
XXOO XX O,U
XXOO XX  ,U
XXOO XOXX,U
XXOO XOXO,U
XXOO XOX ,U
XXOO XOOX,U
XXOO XOOO,O
XXOO XOO ,U
XXOO XO X,U
XXOO XO O,U
XXOO XO  ,U
XXOO X XX,U
XXOO X XO,U
XXOO X X ,U
XXOO X OX,U
XXOO X OO,U
XXOO X O ,U
XXOO X  X,U
XXOO X  O,U
XXOO X   ,U
XXOO OXXX,X
XXOO OXXO,O
XXOO OXX ,U
XXOO OXOX,U
XXOO OXOO,O
XXOO OXO ,U
XXOO OX X,U
XXOO OX O,O
XXOO OX  ,U
XXOO OOXX,U
XXOO OOXO,O
XXOO OOX ,U
XXOO OOOX,U
XXOO OOOO,O
XXOO OOO ,U
XXOO OO X,U
XXOO OO O,O
XXOO OO  ,U
XXOO O XX,U
XXOO O XO,O
XXOO O X ,U
XXOO O OX,U
XXOO O OO,O
XXOO O O ,U
XXOO O  X,U
XXOO O  O,O
XXOO O   ,U
XXOO  XXX,X
XXOO  XXO,U
XXOO  XX ,U
XXOO  XOX,U
XXOO  XOO,U
XXOO  XO ,U
XXOO  X X,U
XXOO  X O,U
XXOO  X  ,U
XXOO  OXX,U
XXOO  OXO,U
XXOO  OX ,U
XXOO  OOX,U
XXOO  OOO,O
XXOO  OO ,U
XXOO  O X,U
XXOO  O O,U
XXOO  O  ,U
XXOO   XX,U
XXOO   XO,U
XXOO   X ,U
XXOO   OX,U
XXOO   OO,U
XXOO   O ,U
XXOO    X,U
XXOO    O,U
XXOO     ,U
XXO XXXXX,X
XXO XXXXO,X
XXO XXXX ,X
XXO XXXOX,X
XXO XXXOO,U
XXO XXXO ,U
XXO XXX X,X
XXO XXX O,U
XXO XXX  ,U
XXO XXOXX,X
XXO XXOXO,X
XXO XXOX ,X
XXO XXOOX,X
XXO XXOOO,O
XXO XXOO ,U
XXO XXO X,X
XXO XXO O,U
XXO XXO  ,U
XXO XX XX,X
XXO XX XO,X
XXO XX X ,X
XXO XX OX,X
XXO XX OO,U
XXO XX O ,U
XXO XX  X,X
XXO XX  O,U
XXO XX   ,U
XXO XOXXX,X
XXO XOXXO,X
XXO XOXX ,X
XXO XOXOX,X
XXO XOXOO,O
XXO XOXO ,U
XXO XOX X,X
XXO XOX O,O
XXO XOX  ,U
XXO XOOXX,X
XXO XOOXO,X
XXO XOOX ,X
XXO XOOOX,X
XXO XOOOO,O
XXO XOOO ,U
XXO XOO X,X
XXO XOO O,O
XXO XOO  ,U
XXO XO XX,X
XXO XO XO,X
XXO XO X ,X
XXO XO OX,X
XXO XO OO,O
XXO XO O ,U
XXO XO  X,X
XXO XO  O,O
XXO XO   ,U
XXO X XXX,X
XXO X XXO,X
XXO X XX ,X
XXO X XOX,X
XXO X XOO,U
XXO X XO ,U
XXO X X X,X
XXO X X O,U
XXO X X  ,U
XXO X OXX,X
XXO X OXO,X
XXO X OX ,X
XXO X OOX,X
XXO X OOO,O
XXO X OO ,U
XXO X O X,X
XXO X O O,U
XXO X O  ,U
XXO X  XX,X
XXO X  XO,X
XXO X  X ,X
XXO X  OX,X
